region_from,region_to,time,sector,product
EU27+3,EU27+3,1973,Household packaging,PC
EU27+3,EU27+3,1973,Household packaging,Other Thermoplastics
EU27+3,EU27+3,1973,Household packaging,PUR
EU27+3,EU27+3,1973,Household packaging,Other Plastics
EU27+3,EU27+3,1973,Commercial & industrial packaging,"PE-LD, -LLD"
EU27+3,EU27+3,1973,Commercial & industrial packaging,"PE-HD, -MD"
EU27+3,EU27+3,1973,Commercial & industrial packaging,PP
EU27+3,EU27+3,1973,Commercial & industrial packaging,PS
EU27+3,EU27+3,1973,Commercial & industrial packaging,PS-E
EU27+3,EU27+3,1973,Commercial & industrial packaging,PVC
EU27+3,EU27+3,1973,Commercial & industrial packaging,PET
EU27+3,EU27+3,1973,Commercial & industrial packaging,"ABS, SAN"
EU27+3,EU27+3,1973,Commercial & industrial packaging,PMMA
EU27+3,EU27+3,1973,Commercial & industrial packaging,"PA (PA6, PA66)"
EU27+3,EU27+3,1973,Commercial & industrial packaging,PC
EU27+3,EU27+3,1973,Commercial & industrial packaging,Other Thermoplastics
EU27+3,EU27+3,1973,Commercial & industrial packaging,PUR
EU27+3,EU27+3,1973,Commercial & industrial packaging,Other Plastics
EU27+3,EU27+3,1973,Building and Construction,"PE-LD, -LLD"
EU27+3,EU27+3,1973,Building and Construction,"PE-HD, -MD"
EU27+3,EU27+3,1973,Building and Construction,PP
EU27+3,EU27+3,1973,Building and Construction,PS
EU27+3,EU27+3,1973,Building and Construction,PS-E
EU27+3,EU27+3,1973,Building and Construction,PVC
EU27+3,EU27+3,1973,Building and Construction,PET
EU27+3,EU27+3,1973,Building and Construction,"ABS, SAN"
