Time,Region,Insulation product,value
2024,MLT,Insulation (Floor),0.0
2024,MLT,Insulation (Basement),0.0
2024,NLD,Insulation,-21883301.04955565
2024,NLD,Insulation (Exterior wall),0.0
2024,NLD,Insulation (Roof),0.0
2024,NLD,Insulation (Floor),0.0
2024,NLD,Insulation (Basement),0.0
2024,POL,Insulation,-42388363.3776477
2024,POL,Insulation (Exterior wall),0.0
2024,POL,Insulation (Roof),0.0
2024,POL,Insulation (Floor),0.0
2024,POL,Insulation (Basement),0.0
2024,PRT,Insulation,-8343522.555283392
2024,PRT,Insulation (Exterior wall),0.0
2024,PRT,Insulation (Roof),0.0
2024,PRT,Insulation (Floor),0.0
