Vehicle size;Vehicle type;Plastics product;Value
light truck;Internal Combustion Engine – Ethanol;PP;74.31473558
light truck;Internal Combustion Engine – Ethanol;PE;23.22335487
light truck;Internal Combustion Engine – Ethanol;ABS;34.8350323
light truck;Internal Combustion Engine – Ethanol;PVC;11.61167743
light truck;Internal Combustion Engine – Ethanol;PC;2.322335487
light truck;Internal Combustion Engine – Ethanol;PA/Nylon;18.5786839
light truck;Internal Combustion Engine – Ethanol;PUR;41.80203877
light truck;Internal Combustion Engine – Ethanol;Rubber;23.22335487
light truck;Internal Combustion Engine – Biodiesel;PP;75.51806545
light truck;Internal Combustion Engine – Biodiesel;PE;23.59939545
light truck;Internal Combustion Engine – Biodiesel;ABS;35.39909318
light truck;Internal Combustion Engine – Biodiesel;PVC;11.79969773
light truck;Internal Combustion Engine – Biodiesel;PC;2.359939545
light truck;Internal Combustion Engine – Biodiesel;PA/Nylon;18.87951636
light truck;Internal Combustion Engine – Biodiesel;PUR;42.47891182
light truck;Internal Combustion Engine – Biodiesel;Rubber;23.59939545
light truck;Internal Combustion Engine – Methanol;PP;74.31473558
light truck;Internal Combustion Engine – Methanol;PE;23.22335487
light truck;Internal Combustion Engine – Methanol;ABS;34.8350323
light truck;Internal Combustion Engine – Methanol;PVC;11.61167743
light truck;Internal Combustion Engine – Methanol;PC;2.322335487
light truck;Internal Combustion Engine – Methanol;PA/Nylon;18.5786839
light truck;Internal Combustion Engine – Methanol;PUR;41.80203877
light truck;Internal Combustion Engine – Methanol;Rubber;23.22335487
light truck;Electric Vehicle/Pure Electric Engine;PP;90.76935641
light truck;Electric Vehicle/Pure Electric Engine;PE;28.36542388
light truck;Electric Vehicle/Pure Electric Engine;ABS;42.54813582
light truck;Electric Vehicle/Pure Electric Engine;PVC;14.18271194
light truck;Electric Vehicle/Pure Electric Engine;PC;2.836542388
light truck;Electric Vehicle/Pure Electric Engine;PA/Nylon;22.6923391
light truck;Electric Vehicle/Pure Electric Engine;PUR;51.05776298
light truck;Electric Vehicle/Pure Electric Engine;Rubber;28.36542388
light truck;Plug in Hybrid – Gasoline;PP;66.92490862
light truck;Plug in Hybrid – Gasoline;PE;20.91403394
light truck;Plug in Hybrid – Gasoline;ABS;31.37105092
light truck;Plug in Hybrid – Gasoline;PVC;10.45701697
light truck;Plug in Hybrid – Gasoline;PC;2.091403394
light truck;Plug in Hybrid – Gasoline;PA/Nylon;16.73122716
light truck;Plug in Hybrid – Gasoline;PUR;37.6452611
light truck;Plug in Hybrid – Gasoline;Rubber;20.91403394
light truck;Plug in Hybrid – Diesel Oil;PP;66.92490862
light truck;Plug in Hybrid – Diesel Oil;PE;20.91403394
light truck;Plug in Hybrid – Diesel Oil;ABS;31.37105092
light truck;Plug in Hybrid – Diesel Oil;PVC;10.45701697
light truck;Plug in Hybrid – Diesel Oil;PC;2.091403394
light truck;Plug in Hybrid – Diesel Oil;PA/Nylon;16.73122716
light truck;Plug in Hybrid – Diesel Oil;PUR;37.6452611
light truck;Plug in Hybrid – Diesel Oil;Rubber;20.91403394
light truck;Conventional Hybrid – Gasoline;PP;76.34324137
light truck;Conventional Hybrid – Gasoline;PE;23.85726293
light truck;Conventional Hybrid – Gasoline;ABS;35.78589439
light truck;Conventional Hybrid – Gasoline;PVC;11.92863146
light truck;Conventional Hybrid – Gasoline;PC;2.385726293
light truck;Conventional Hybrid – Gasoline;PA/Nylon;19.08581034
light truck;Conventional Hybrid – Gasoline;PUR;42.94307327
light truck;Conventional Hybrid – Gasoline;Rubber;23.85726293
light truck;Conventional Hybrid – Diesel Oil;PP;76.34324137
light truck;Conventional Hybrid – Diesel Oil;PE;23.85726293
light truck;Conventional Hybrid – Diesel Oil;ABS;35.78589439
light truck;Conventional Hybrid – Diesel Oil;PVC;11.92863146
light truck;Conventional Hybrid – Diesel Oil;PC;2.385726293
light truck;Conventional Hybrid – Diesel Oil;PA/Nylon;19.08581034
light truck;Conventional Hybrid – Diesel Oil;PUR;42.94307327
light truck;Conventional Hybrid – Diesel Oil;Rubber;23.85726293
