Region;Building type;Age cohort;Insulation product;value
BEL;SFH;>1945;Insulation;7.509333333
BEL;SFH;>1945;Insulation (Exterior wall);0
BEL;SFH;>1945;Insulation (Roof);0
BEL;SFH;>1945;Insulation (Floor);0
BEL;SFH;>1945;Insulation (Basement);0
BEL;SFH;1945-1969;Insulation;9.422919507
BEL;SFH;1945-1969;Insulation (Exterior wall);0
BEL;SFH;1945-1969;Insulation (Roof);0
BEL;SFH;1945-1969;Insulation (Floor);0
BEL;SFH;1945-1969;Insulation (Basement);0
BEL;SFH;1970-1989;Insulation;16.21680358
BEL;SFH;1970-1989;Insulation (Exterior wall);0
BEL;SFH;1970-1989;Insulation (Roof);0
BEL;SFH;1970-1989;Insulation (Floor);0
BEL;SFH;1970-1989;Insulation (Basement);0
BEL;SFH;1990-2010;Insulation;18.05892114
BEL;SFH;1990-2010;Insulation (Exterior wall);0
BEL;SFH;1990-2010;Insulation (Roof);0
BEL;SFH;1990-2010;Insulation (Floor);0
BEL;SFH;1990-2010;Insulation (Basement);0
BEL;SFH;2011-2020;Insulation;17.47326052
BEL;SFH;2011-2020;Insulation (Exterior wall);0
BEL;SFH;2011-2020;Insulation (Roof);0
BEL;SFH;2011-2020;Insulation (Floor);0
BEL;SFH;2011-2020;Insulation (Basement);0
BEL;SFH;2021-2030;Insulation;0
BEL;SFH;2021-2030;Insulation (Exterior wall);11.32937275
BEL;SFH;2021-2030;Insulation (Roof);2.563041729
BEL;SFH;2021-2030;Insulation (Floor);1.580846038
BEL;SFH;2021-2030;Insulation (Basement);2
BEL;SFH;2031-2040;Insulation;0
BEL;SFH;2031-2040;Insulation (Exterior wall);11.32937275
BEL;SFH;2031-2040;Insulation (Roof);2.563041729
BEL;SFH;2031-2040;Insulation (Floor);1.580846038
BEL;SFH;2031-2040;Insulation (Basement);2
BEL;SFH;2040<;Insulation;0
BEL;SFH;2040<;Insulation (Exterior wall);11.32937275
BEL;SFH;2040<;Insulation (Roof);2.563041729
BEL;SFH;2040<;Insulation (Floor);1.580846038
BEL;SFH;2040<;Insulation (Basement);2
BEL;MFH;>1945;Insulation;3.520352606
BEL;MFH;>1945;Insulation (Exterior wall);0
