Region;Year;Vehicle size;Value
DEU;2033;light truck;0.024165814
DEU;2034;microcar;0.291490611
DEU;2034;passenger car;0.64125632
DEU;2034;minivan_SUV;0.04669248
DEU;2034;light truck;0.020560589
DEU;2035;microcar;0.296959972
DEU;2035;passenger car;0.64384
DEU;2035;minivan_SUV;0.04176
DEU;2035;light truck;0.017440028
DEU;2036;microcar;0.301535159
DEU;2036;passenger car;0.64600128
DEU;2036;minivan_SUV;0.03763392
DEU;2036;light truck;0.014829641
DEU;2037;microcar;0.305171464
DEU;2037;passenger car;0.64771904
DEU;2037;minivan_SUV;0.03435456
DEU;2037;light truck;0.012754936
DEU;2038;microcar;0.307824178
DEU;2038;passenger car;0.64897216
DEU;2038;minivan_SUV;0.03196224
DEU;2038;light truck;0.011241422
DEU;2039;microcar;0.309448593
DEU;2039;passenger car;0.64973952
DEU;2039;minivan_SUV;0.03049728
DEU;2039;light truck;0.010314607
DEU;2040;microcar;0.31
DEU;2040;passenger car;0.65
DEU;2040;minivan_SUV;0.03
DEU;2040;light truck;0.01
DEU;2041;microcar;0.31
DEU;2041;passenger car;0.65
DEU;2041;minivan_SUV;0.03
DEU;2041;light truck;0.01
DEU;2042;microcar;0.31
DEU;2042;passenger car;0.65
DEU;2042;minivan_SUV;0.03
DEU;2042;light truck;0.01
DEU;2043;microcar;0.31
DEU;2043;passenger car;0.65
DEU;2043;minivan_SUV;0.03
DEU;2043;light truck;0.01
DEU;2044;microcar;0.31
DEU;2044;passenger car;0.65
DEU;2044;minivan_SUV;0.03
DEU;2044;light truck;0.01
DEU;2045;microcar;0.31
DEU;2045;passenger car;0.65
DEU;2045;minivan_SUV;0.03
DEU;2045;light truck;0.01
DEU;2046;microcar;0.31
DEU;2046;passenger car;0.65
DEU;2046;minivan_SUV;0.03
DEU;2046;light truck;0.01
DEU;2047;microcar;0.31
DEU;2047;passenger car;0.65
DEU;2047;minivan_SUV;0.03
DEU;2047;light truck;0.01
DEU;2048;microcar;0.31
DEU;2048;passenger car;0.65
DEU;2048;minivan_SUV;0.03
DEU;2048;light truck;0.01
DEU;2049;microcar;0.31
DEU;2049;passenger car;0.65
DEU;2049;minivan_SUV;0.03
DEU;2049;light truck;0.01
DEU;2050;microcar;0.31
DEU;2050;passenger car;0.65
DEU;2050;minivan_SUV;0.03
DEU;2050;light truck;0.01
DNK;2020;microcar;0.146068214
DNK;2020;passenger car;0.57256
DNK;2020;minivan_SUV;0.17784
DNK;2020;light truck;0.103531786
DNK;2021;microcar;0.159361591
DNK;2021;passenger car;0.57883968
DNK;2021;minivan_SUV;0.16585152
DNK;2021;light truck;0.095947209
DNK;2022;microcar;0.172386717
DNK;2022;passenger car;0.58499264
DNK;2022;minivan_SUV;0.15410496
DNK;2022;light truck;0.088515683
DNK;2023;microcar;0.185098882
DNK;2023;passenger car;0.59099776
DNK;2023;minivan_SUV;0.14264064
DNK;2023;light truck;0.081262718
DNK;2024;microcar;0.197453377
DNK;2024;passenger car;0.59683392
DNK;2024;minivan_SUV;0.13149888
DNK;2024;light truck;0.074213823
DNK;2025;microcar;0.209405495
DNK;2025;passenger car;0.60248
DNK;2025;minivan_SUV;0.12072
DNK;2025;light truck;0.067394505
DNK;2026;microcar;0.220910526
DNK;2026;passenger car;0.60791488
DNK;2026;minivan_SUV;0.11034432
DNK;2026;light truck;0.060830274
DNK;2027;microcar;0.231923761
DNK;2027;passenger car;0.61311744
DNK;2027;minivan_SUV;0.10041216
DNK;2027;light truck;0.054546639
DNK;2028;microcar;0.242400492
DNK;2028;passenger car;0.61806656
DNK;2028;minivan_SUV;0.09096384
DNK;2028;light truck;0.048569108
DNK;2029;microcar;0.252296011
DNK;2029;passenger car;0.62274112
DNK;2029;minivan_SUV;0.08203968
DNK;2029;light truck;0.042923189
DNK;2030;microcar;0.261565609
DNK;2030;passenger car;0.62712
DNK;2030;minivan_SUV;0.07368
DNK;2030;light truck;0.037634391
DNK;2031;microcar;0.270164576
DNK;2031;passenger car;0.63118208
DNK;2031;minivan_SUV;0.06592512
DNK;2031;light truck;0.032728224
DNK;2032;microcar;0.278048205
DNK;2032;passenger car;0.63490624
