,region,time,sector,polymer,waste_category,element,mechanical_recycling_cycle,value
180,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2717246408945987
181,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.06521391381470369
182,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01565133931552888
183,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.0037563214357269315
184,EU27+3,2020.0,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009015171445744632
185,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.1520815330300663
186,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.036499567927215905
187,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.008759896302531817
188,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.002102375112607637
189,EU27+3,2020.0,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0006639079302971484
190,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
191,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1108973699486318
192,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3687948427773982
193,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6022697308220551
194,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,4,0.26499868156170425
195,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,5,0.11659941988714989
196,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05130374475034595
197,EU27+3,2020.0,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022573647690152212
198,EU27+3,2020.0,other,PET,Mechanical recycling,All,0,0.006351351351351351
199,EU27+3,2020.0,other,PET,Mechanical recycling,All,1,0.006429430353565046
200,EU27+3,2020.0,other,PET,Mechanical recycling,All,2,0.005143544282852037
201,EU27+3,2020.0,other,PET,Mechanical recycling,All,3,0.00411483542628163
202,EU27+3,2020.0,other,PET,Mechanical recycling,All,4,0.003291868341025305
203,EU27+3,2020.0,other,PET,Mechanical recycling,All,5,0.002633494672820243
204,EU27+3,2020.0,other,PET,Mechanical recycling,All,6,0.0021067957382561947
205,EU27+3,2020.0,other,PET,Mechanical recycling,All,7,0.0016854365906049562
206,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,0,358.2070143604054
207,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,1,85.97268034938607
208,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,2,20.634389674238584
209,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,3,4.9522535218172585
210,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,4,1.188540845236142
211,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,5,0.28524980285667406
212,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06845995268560179
213,EU27+3,2020.25,single-use beverage bottles,PET,Mechanical recycling,All,7,0.016430388644544436
214,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,0,1.8279557027596653
215,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,1,0.43870936866231974
216,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10529024847895668
217,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,3,0.025269659634949614
218,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,4,0.006064718312387905
219,EU27+3,2020.25,reusable beverage bottles,PET,Mechanical recycling,All,5,0.0019151742039119693
220,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.064586856430267
221,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.81566871388727
222,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1558135023889466
223,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.27739524057334713
224,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.0665748577376033
225,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01597796585702479
226,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.0038347118056859496
227,EU27+3,2020.25,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009203308333646278
228,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.157282932684046
229,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.03774790384417104
230,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.009059496922601048
231,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.002174279261424252
232,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0005218270227418206
233,EU27+3,2020.25,reusable non-beverage bottles,PET,Mechanical recycling,All,5,0.00016478748086583804
234,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
235,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1065371064087737
236,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3712544379542813
237,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6033519526998838
238,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,4,0.2654748591879489
239,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,5,0.1168089380426975
240,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,6,0.05139593273878691
241,EU27+3,2020.25,single-use sheet (tray),PET,Mechanical recycling,All,7,0.022614210405066237
242,EU27+3,2020.25,other,PET,Mechanical recycling,All,0,0.006351351351351351
243,EU27+3,2020.25,other,PET,Mechanical recycling,All,1,0.0053658653847487355
244,EU27+3,2020.25,other,PET,Mechanical recycling,All,2,0.0054318295224696075
245,EU27+3,2020.25,other,PET,Mechanical recycling,All,3,0.004345463617975685
246,EU27+3,2020.25,other,PET,Mechanical recycling,All,4,0.0034763708943805487
247,EU27+3,2020.25,other,PET,Mechanical recycling,All,5,0.00278109671550444
248,EU27+3,2020.25,other,PET,Mechanical recycling,All,6,0.0022248773724035512
249,EU27+3,2020.25,other,PET,Mechanical recycling,All,7,0.001779901897922841
250,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,0,365.74100510221126
251,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,1,87.78090126646683
252,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,2,21.068150714016717
253,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,3,5.056588090331805
254,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,4,1.2135811416796327
255,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,5,0.2912594740031118
256,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,6,0.06990227376074683
257,EU27+3,2020.5,single-use beverage bottles,PET,Mechanical recycling,All,7,0.016776545702579245
258,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,0,1.7922851353465772
259,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,1,0.4301484324831784
260,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,2,0.10323562379596285
261,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,3,0.024776549711031066
262,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,4,0.005946371930647458
263,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,5,0.0014271292633553894
264,EU27+3,2020.5,reusable beverage bottles,PET,Mechanical recycling,All,6,0.0004506723989543333
265,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,0,20.47406822084721
266,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,1,4.913947673203433
267,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,2,1.1793885536168482
268,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,3,0.2830662356200513
269,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,4,0.0679358965488123
270,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,5,0.01630461517171495
271,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,6,0.003913107641211586
272,EU27+3,2020.5,single-use non-beverage bottles,PET,Mechanical recycling,All,7,0.0009391458338907808
273,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,0,0.1625673133332306
274,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,1,0.03901615519997534
275,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,2,0.009363877247994083
276,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,3,0.0022473305395185796
277,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,4,0.0005393593294844592
278,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,5,0.00012944623907627025
279,EU27+3,2020.5,reusable non-beverage bottles,PET,Mechanical recycling,All,6,4.0877759708295854e-05
280,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,0,7.047647647647648
281,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,1,3.1065471370452844
282,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,2,1.3693368960152654
283,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,3,0.6044380708801985
284,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,4,0.26595275118728734
285,EU27+3,2020.5,single-use sheet (tray),PET,Mechanical recycling,All,5,0.11701921052240644
