Region,Time,Vehicle size,Value
CYP,2022,light truck,0.09260592317014146
CYP,2022,minivan_SUV,0.26863168
CYP,2023,microcar,0.07846720171442975
CYP,2023,passenger car,0.5631808
CYP,2023,light truck,0.08589887828557027
CYP,2023,minivan_SUV,0.27245312
CYP,2024,microcar,0.07861881724703178
CYP,2024,passenger car,0.5658335999999999
CYP,2024,light truck,0.07938054275296823
CYP,2024,minivan_SUV,0.27616704
CYP,2025,microcar,0.0787654947586685
CYP,2025,passenger car,0.5684
CYP,2025,light truck,0.0730745052413315
CYP,2025,minivan_SUV,0.27976
CYP,2026,microcar,0.07890668558034375
CYP,2026,passenger car,0.5708704
CYP,2026,light truck,0.06700435441965627
CYP,2026,minivan_SUV,0.28321856
CYP,2027,microcar,0.07904184104306138
CYP,2027,passenger car,0.5732352
CYP,2027,light truck,0.06119367895693864
CYP,2027,minivan_SUV,0.28652928
CYP,2028,microcar,0.07917041247782523
CYP,2028,passenger car,0.5754847999999999
CYP,2028,light truck,0.0556660675221748
CYP,2028,minivan_SUV,0.2896787199999999
CYP,2029,microcar,0.07929185121563917
CYP,2029,passenger car,0.5776096
CYP,2029,light truck,0.05044510878436086
CYP,2029,minivan_SUV,0.29265344
CYP,2030,microcar,0.07940560858750706
CYP,2030,passenger car,0.5795999999999999
CYP,2030,light truck,0.04555439141249299
CYP,2030,minivan_SUV,0.29544
CYP,2031,microcar,0.07951113592443274
CYP,2031,passenger car,0.5814463999999999
CYP,2031,light truck,0.04101750407556732
CYP,2031,minivan_SUV,0.29802496
CYP,2032,microcar,0.07960788455742004
CYP,2032,passenger car,0.5831392
CYP,2032,light truck,0.03685803544258002
CYP,2032,minivan_SUV,0.30039488
CYP,2033,microcar,0.07969530581747285
CYP,2033,passenger car,0.5846688
CYP,2033,light truck,0.03309957418252721
CYP,2033,minivan_SUV,0.30253632
CYP,2034,microcar,0.079772851035595
CYP,2034,passenger car,0.5860255999999999
CYP,2034,light truck,0.02976570896440506
CYP,2034,minivan_SUV,0.30443584
CYP,2035,microcar,0.07983997154279036
CYP,2035,passenger car,0.5871999999999999
CYP,2035,light truck,0.0268800284572097
CYP,2035,minivan_SUV,0.30608
CYP,2036,microcar,0.07989611867006277
CYP,2036,passenger car,0.5881824
