"region","sector","product","polymer","value"
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108410 - Yarn (other than sewing thread) of artificial staple fibres, n.p.r.s.","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108510 - Sewing thread of man-made filaments","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","PE",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","PVC",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","PP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","PS",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","Other_TP",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","Thermosets",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13108550 - Sewing thread of man-made staple fibres","Bio_derived",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","PET",5
"EUROPEAN UNION (28)","Textiles, wearing apparel, luggage and footwear","13203130 - Woven fabrics of man-made filament yarns obtained from high tenacity yarn, strip or the like (including nylon, other polyamides, polyester, viscose rayon)","PE",5
