"region","time","sector","polymer","element","value"
"EU27+3",2049.25,"single-use sheet (tray)","PET","All",0
"EU27+3",2049.5,"single-use sheet (tray)","PET","All",0
"EU27+3",2049.75,"single-use sheet (tray)","PET","All",0
"EU27+3",2050,"single-use sheet (tray)","PET","All",0.010000000000000009
"EU27+3",2018.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2018.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2018.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2019,"reusable sheet (tray)","PET","All",7
"EU27+3",2019.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2019.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2019.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2020,"reusable sheet (tray)","PET","All",7
"EU27+3",2020.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2020.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2020.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2021,"reusable sheet (tray)","PET","All",7
"EU27+3",2021.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2021.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2021.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2022,"reusable sheet (tray)","PET","All",7
"EU27+3",2022.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2022.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2022.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2023,"reusable sheet (tray)","PET","All",7
"EU27+3",2023.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2023.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2023.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2024,"reusable sheet (tray)","PET","All",7
"EU27+3",2024.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2024.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2024.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2025,"reusable sheet (tray)","PET","All",7
"EU27+3",2025.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2025.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2025.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2026,"reusable sheet (tray)","PET","All",7
"EU27+3",2026.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2026.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2026.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2027,"reusable sheet (tray)","PET","All",7
"EU27+3",2027.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2027.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2027.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2028,"reusable sheet (tray)","PET","All",7
"EU27+3",2028.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2028.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2028.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2029,"reusable sheet (tray)","PET","All",7
"EU27+3",2029.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2029.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2029.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2030,"reusable sheet (tray)","PET","All",7
"EU27+3",2030.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2030.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2030.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2031,"reusable sheet (tray)","PET","All",7
"EU27+3",2031.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2031.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2031.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2032,"reusable sheet (tray)","PET","All",7
"EU27+3",2032.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2032.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2032.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2033,"reusable sheet (tray)","PET","All",7
"EU27+3",2033.25,"reusable sheet (tray)","PET","All",7
"EU27+3",2033.5,"reusable sheet (tray)","PET","All",7
"EU27+3",2033.75,"reusable sheet (tray)","PET","All",7
"EU27+3",2034,"reusable sheet (tray)","PET","All",7
"EU27+3",2034.25,"reusable sheet (tray)","PET","All",7
