"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2044reusable sheet (tray)","EU27+3",2044,"reusable sheet (tray)","PET","All",582.6826118459003,"",11330175720.108894,"","","",""
"2045reusable sheet (tray)","EU27+3",2045,"reusable sheet (tray)","PET","All",630.5458263903846,"",12260868725.689262,"","","",""
"2046reusable sheet (tray)","EU27+3",2046,"reusable sheet (tray)","PET","All",679.3080369645745,"",13209042573.809235,"","","",""
"2047reusable sheet (tray)","EU27+3",2047,"reusable sheet (tray)","PET","All",728.9824371676091,"",14174953812.019035,"","","",""
"2048reusable sheet (tray)","EU27+3",2048,"reusable sheet (tray)","PET","All",779.5823945710077,"",15158862370.73565,"","","",""
"2049reusable sheet (tray)","EU27+3",2049,"reusable sheet (tray)","PET","All",831.121452878758,"",16161031605.2454,"","","",""
"2050reusable sheet (tray)","EU27+3",2050,"reusable sheet (tray)","PET","All",883.6133341132058,"",17181728338.208267,"","","",""
"2018single-use non-beverage bottles","EU27+3",2018,"single-use non-beverage bottles","PET","All",291.6916916916917,"",6946235843.923339,"",0,"",6946235843.923339
"2019single-use non-beverage bottles","EU27+3",2019,"single-use non-beverage bottles","PET","All",301.83354085793115,"",7187750011.823114,"",0.003,"",7209378146.2619
"2020single-use non-beverage bottles","EU27+3",2020,"single-use non-beverage bottles","PET","All",287.35534345048717,"",6842971683.706441,"",0.006,"",6884277347.7932005
"2021single-use non-beverage bottles","EU27+3",2021,"single-use non-beverage bottles","PET","All",297.352902976978,"",7081049792.588847,"",0.009000000000000001,"",7145358014.721339
"2022single-use non-beverage bottles","EU27+3",2022,"single-use non-beverage bottles","PET","All",300.86444007858546,"",7164672211.66081,"",0.012,"",7251692521.923897
"2023single-use non-beverage bottles","EU27+3",2023,"single-use non-beverage bottles","PET","All",300.48988212180745,"",7155752629.858844,"",0.023,"",7324209447.143136
"2024single-use non-beverage bottles","EU27+3",2024,"single-use non-beverage bottles","PET","All",300.07774656188604,"",7145938189.199673,"",0.034,"",7397451541.614568
"2025single-use non-beverage bottles","EU27+3",2025,"single-use non-beverage bottles","PET","All",299.627319302554,"",7135211884.464331,"",0.045,"",7471426057.030713
"2026single-use non-beverage bottles","EU27+3",2026,"single-use non-beverage bottles","PET","All",299.1378757233791,"",7123556459.815362,"",0.05600000000000001,"",7546140317.60102
"2027single-use non-beverage bottles","EU27+3",2027,"single-use non-beverage bottles","PET","All",298.60868054069056,"",7110954405.484969,"",0.067,"",7621601720.77703
"2028single-use non-beverage bottles","EU27+3",2028,"single-use non-beverage bottles","PET","All",298.0389876667759,"",7097387954.421987,"",0.078,"",7697817737.9848
"2029single-use non-beverage bottles","EU27+3",2029,"single-use non-beverage bottles","PET","All",297.42804006732877,"",7082839078.897195,"",0.08900000000000001,"",7774795915.364649
