,time,region,sector,polymer,element,mechanical_recycling_cycle,reuse_cycle,value
247,2020.5,EU27+3,other,PET,All,4,0,3.6827834477297947
248,2020.5,EU27+3,other,PET,All,5,0,2.946226758183836
249,2020.5,EU27+3,other,PET,All,6,0,2.35698140654707
250,2020.5,EU27+3,other,PET,All,7,0,1.885585125237655
251,2020.75,EU27+3,single-use beverage bottles,PET,All,0,0,556.002002002002
252,2020.75,EU27+3,single-use beverage bottles,PET,All,1,0,133.44513253954287
253,2020.75,EU27+3,single-use beverage bottles,PET,All,2,0,32.027948303665255
254,2020.75,EU27+3,single-use beverage bottles,PET,All,3,0,7.686975551481655
255,2020.75,EU27+3,single-use beverage bottles,PET,All,4,0,1.8449587508614902
256,2020.75,EU27+3,single-use beverage bottles,PET,All,5,0,0.44279010020675746
257,2020.75,EU27+3,single-use beverage bottles,PET,All,6,0,0.10626962404962179
258,2020.75,EU27+3,single-use beverage bottles,PET,All,7,0,0.025504709771909214
259,2020.75,EU27+3,single-use non-beverage bottles,PET,All,0,0,55.42142142142142
260,2020.75,EU27+3,single-use non-beverage bottles,PET,All,1,0,13.301604851208456
261,2020.75,EU27+3,single-use non-beverage bottles,PET,All,2,0,3.1924964547061836
262,2020.75,EU27+3,single-use non-beverage bottles,PET,All,3,0,0.7662258588293613
263,2020.75,EU27+3,single-use non-beverage bottles,PET,All,4,0,0.18390264076111315
264,2020.75,EU27+3,single-use non-beverage bottles,PET,All,5,0,0.044136633782667176
265,2020.75,EU27+3,single-use non-beverage bottles,PET,All,6,0,0.01059279210784012
266,2020.75,EU27+3,single-use non-beverage bottles,PET,All,7,0,0.0025422701058816274
267,2020.75,EU27+3,single-use sheet (tray),PET,All,0,0,140.95295295295296
268,2020.75,EU27+3,single-use sheet (tray),PET,All,1,0,62.13114407720053
269,2020.75,EU27+3,single-use sheet (tray),PET,All,2,0,27.386915096244785
270,2020.75,EU27+3,single-use sheet (tray),PET,All,3,0,12.071895791349386
